,Accuracy,Precision,Sensitivity o recall,Specificity,Sorensen-Dice coefficient,Jaccard index;;;;;;;;;;;;;;;;;;;;
Datos/Validacion/RoiImg\Mamo_01.jpg,0.87103271484375,0.9972846210812145,0.7944154950349032,0.9964590375020119,0.884364909976468,0.792700873148239;;;;;;;;;;;;;;;Accuracy;Precision;Sensitivity o recall;Specificity;Sorensen-Dice coefficient;Jaccard index
Datos/Validacion/RoiImg\Mamo_010.jpg,0.71099853515625,0.3604613905799423,0.7517540928833946,0.7018893286535733,0.48727666486193827,0.3221188260558339;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_01.jpg;0.87103271484375;0.9972846210812145;0.7944154950349032;0.9964590375020119;0.884364909976468;0.792700873148239
Datos/Validacion/RoiImg\Mamo_0100.jpg,0.86749267578125,0.23333333333333334,0.9865067466266867,0.8624419418464083,0.37740177803269287,0.23259102156238953;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_010.jpg;0.71099853515625;0.3604613905799423;0.7517540928833946;0.7018893286535733;0.48727666486193827;0.3221188260558339
Datos/Validacion/RoiImg\Mamo_0101.jpg,0.99493408203125,0.9183467741935484,0.9978094194961665,0.9947643979057592,0.9564304461942257,0.9164989939637826;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0100.jpg;0.86749267578125;0.23333333333333334;0.9865067466266867;0.8624419418464083;0.37740177803269287;0.23259102156238953
Datos/Validacion/RoiImg\Mamo_0102.jpg,0.99609375,0.9259259259259259,0.9917920656634747,0.9962946400051108,0.9577278731836195,0.9188846641318125;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0101.jpg;0.99493408203125;0.9183467741935484;0.9978094194961665;0.9947643979057592;0.9564304461942257;0.9164989939637826
Datos/Validacion/RoiImg\Mamo_0103.jpg,0.992431640625,0.9623893805309734,0.9916413373860182,0.9925828970331588,0.9767964071856288,0.9546452084857352;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0102.jpg;0.99609375;0.9259259259259259;0.9917920656634747;0.9962946400051108;0.9577278731836195;0.9188846641318125
Datos/Validacion/RoiImg\Mamo_0104.jpg,0.9901123046875,0.9514891003991404,0.9987109249113761,0.9881033054739854,0.9745283018867924,0.9503219871205152;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0103.jpg;0.992431640625;0.9623893805309734;0.9916413373860182;0.9925828970331588;0.9767964071856288;0.9546452084857352
Datos/Validacion/RoiImg\Mamo_0105.jpg,0.99285888671875,0.8859198355601233,0.9930875576036866,0.992846094354215,0.9364475828354155,0.8804902962206334;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0104.jpg;0.9901123046875;0.9514891003991404;0.9987109249113761;0.9881033054739854;0.9745283018867924;0.9503219871205152
Datos/Validacion/RoiImg\Mamo_0106.jpg,0.99615478515625,0.8406169665809768,0.9969512195121951,0.9961385151968112,0.9121338912133892,0.8384615384615385;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0105.jpg;0.99285888671875;0.8859198355601233;0.9930875576036866;0.992846094354215;0.9364475828354155;0.8804902962206334
Datos/Validacion/RoiImg\Mamo_0107.jpg,0.99658203125,0.9626297577854671,0.9985642498205313,0.996397838703222,0.9802677942212826,0.9612992398064962;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0106.jpg;0.99615478515625;0.8406169665809768;0.9969512195121951;0.9961385151968112;0.9121338912133892;0.8384615384615385
Datos/Validacion/RoiImg\Mamo_0108.jpg,0.998291015625,0.9757207890743551,0.981679389312977,0.9989827706783648,0.9786910197869102,0.9582712369597616;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0107.jpg;0.99658203125;0.9626297577854671;0.9985642498205313;0.996397838703222;0.9802677942212826;0.9612992398064962
Datos/Validacion/RoiImg\Mamo_0109.jpg,0.98321533203125,0.6318607764390897,1.0,0.98271744595274,0.7744052502050861,0.6318607764390897;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0108.jpg;0.998291015625;0.9757207890743551;0.981679389312977;0.9989827706783648;0.9786910197869102;0.9582712369597616
Datos/Validacion/RoiImg\Mamo_011.jpg,0.900390625,0.9846760070052539,0.7422442244224422,0.9932196822936846,0.8464433571697403,0.7337683523654159;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0109.jpg;0.98321533203125;0.6318607764390897;1.0;0.98271744595274;0.7744052502050861;0.6318607764390897
Datos/Validacion/RoiImg\Mamo_0110.jpg,0.99517822265625,0.9576897246474144,0.9889042995839112,0.9957836969615848,0.9730467417263733,0.9475083056478405;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_011.jpg;0.900390625;0.9846760070052539;0.7422442244224422;0.9932196822936846;0.8464433571697403;0.7337683523654159
Datos/Validacion/RoiImg\Mamo_0111.jpg,0.996337890625,0.951715374841169,0.9714656290531777,0.9975661307884455,0.9614890885750963,0.9258343634116193;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0110.jpg;0.99517822265625;0.9576897246474144;0.9889042995839112;0.9957836969615848;0.9730467417263733;0.9475083056478405
Datos/Validacion/RoiImg\Mamo_0112.jpg,0.98779296875,0.8134920634920635,0.9855769230769231,0.9879115226337448,0.8913043478260869,0.803921568627451;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0111.jpg;0.996337890625;0.951715374841169;0.9714656290531777;0.9975661307884455;0.9614890885750963;0.9258343634116193
Datos/Validacion/RoiImg\Mamo_0113.jpg,0.99859619140625,0.989010989010989,0.9752321981424149,0.9995552166730207,0.9820732657833203,0.9647779479326187;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0112.jpg;0.98779296875;0.8134920634920635;0.9855769230769231;0.9879115226337448;0.8913043478260869;0.803921568627451
Datos/Validacion/RoiImg\Mamo_0114.jpg,0.8057861328125,0.07928240740740741,1.0,0.8024829298572316,0.14691689008042896,0.07928240740740741;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0113.jpg;0.99859619140625;0.989010989010989;0.9752321981424149;0.9995552166730207;0.9820732657833203;0.9647779479326187
Datos/Validacion/RoiImg\Mamo_0115.jpg,0.9971923828125,0.9179954441913439,0.9757869249394673,0.9977459144699768,0.9460093896713615,0.8975501113585747;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0114.jpg;0.8057861328125;0.07928240740740741;1.0;0.8024829298572316;0.14691689008042896;0.07928240740740741
Datos/Validacion/RoiImg\Mamo_0116.jpg,0.99688720703125,0.8893805309734514,0.9975186104218362,0.9968712846505225,0.9403508771929825,0.8874172185430463;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0115.jpg;0.9971923828125;0.9179954441913439;0.9757869249394673;0.9977459144699768;0.9460093896713615;0.8975501113585747
Datos/Validacion/RoiImg\Mamo_0117.jpg,0.99737548828125,0.8922305764411027,1.0,0.9973171949089094,0.9430463576158941,0.8922305764411027;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0116.jpg;0.99688720703125;0.8893805309734514;0.9975186104218362;0.9968712846505225;0.9403508771929825;0.8874172185430463
Datos/Validacion/RoiImg\Mamo_0118.jpg,0.991943359375,0.9636803874092009,0.9567307692307693,0.9959239130434783,0.9601930036188179,0.9234338747099768;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0117.jpg;0.99737548828125;0.8922305764411027;1.0;0.9973171949089094;0.9430463576158941;0.8922305764411027
Datos/Validacion/RoiImg\Mamo_0119.jpg,0.99615478515625,0.9732002101944298,0.9935622317596566,0.9964876033057851,0.9832758162994425,0.9671018276762402;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0118.jpg;0.991943359375;0.9636803874092009;0.9567307692307693;0.9959239130434783;0.9601930036188179;0.9234338747099768
Datos/Validacion/RoiImg\Mamo_012.jpg,0.81109619140625,1.0,0.5713890042930342,1.0,0.7272406803560413,0.5713890042930342;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0119.jpg;0.99615478515625;0.9732002101944298;0.9935622317596566;0.9964876033057851;0.9832758162994425;0.9671018276762402
Datos/Validacion/RoiImg\Mamo_0120.jpg,0.92974853515625,0.9778911564625851,0.6766696087084436,0.995995379283789,0.7998608937576074,0.6664734859461026;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_012.jpg;0.81109619140625;1.0;0.5713890042930342;1.0;0.7272406803560413;0.5713890042930342
Datos/Validacion/RoiImg\Mamo_0121.jpg,0.99493408203125,0.9594017094017094,0.9961175818080976,0.9947877374665661,0.9774149659863945,0.9558275678552421;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0120.jpg;0.92974853515625;0.9778911564625851;0.6766696087084436;0.995995379283789;0.7998608937576074;0.6664734859461026
Datos/Validacion/RoiImg\Mamo_0122.jpg,0.98968505859375,0.9239130434782609,0.9597741707833451,0.9925168704483196,0.9415022499134649,0.8894702419882276;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0121.jpg;0.99493408203125;0.9594017094017094;0.9961175818080976;0.9947877374665661;0.9774149659863945;0.9558275678552421
Datos/Validacion/RoiImg\Mamo_0123.jpg,0.73675537109375,0.1831439393939394,1.0,0.7202438866186677,0.309588602529214,0.1831439393939394;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0122.jpg;0.98968505859375;0.9239130434782609;0.9597741707833451;0.9925168704483196;0.9415022499134649;0.8894702419882276
Datos/Validacion/RoiImg\Mamo_0124.jpg,0.9039306640625,0.9039506172839507,0.7554684275691291,0.9662853180793899,0.82306654676259,0.699331423113658;;;;;;;;;;;;;;Datos/Validacion/RoiImg\Mamo_0123.jpg;0.73675537109375;0.1831439393939394;1.0;0.7202438866186677;0.309588602529214;0.1831439393939394
