,Accuracy,Precision,Sensitivity o recall,Specificity,Sorensen-Dice coefficient,Jaccard index
Datos/Validacion/RoiImg\Mamo_01.jpg,0.90283203125,0.9954949751646067,0.8473109822043063,0.993722839208112,0.9154450817930742,0.8440744368266405
Datos/Validacion/RoiImg\Mamo_010.jpg,0.81170654296875,0.49243172096084237,1.0,0.7696213874990665,0.6599051923712931,0.49243172096084237
Datos/Validacion/RoiImg\Mamo_0100.jpg,0.9949951171875,0.9949238578680203,0.881559220389805,0.9998091238786028,0.9348171701112877,0.8776119402985074
Datos/Validacion/RoiImg\Mamo_0101.jpg,0.9976806640625,0.9812981298129813,0.976998904709748,0.9989011699308383,0.9791437980241493,0.9591397849462365
Datos/Validacion/RoiImg\Mamo_0102.jpg,0.99560546875,0.9954887218045113,0.905608755129959,0.9998083434485402,0.9484240687679083,0.9019073569482289
Datos/Validacion/RoiImg\Mamo_0103.jpg,0.9910888671875,0.964152352501867,0.9810030395136778,0.9930191972076788,0.9725047080979284,0.9464809384164223
Datos/Validacion/RoiImg\Mamo_0104.jpg,0.990478515625,0.995960955907102,0.9535932968095392,0.9990964535803026,0.9743167599604873,0.9499197431781702
Datos/Validacion/RoiImg\Mamo_0105.jpg,0.99664306640625,0.9822064056939501,0.9539170506912442,0.9990332559938129,0.9678550555230859,0.9377123442808607
Datos/Validacion/RoiImg\Mamo_0106.jpg,0.99810791015625,1.0,0.9054878048780488,1.0,0.9504,0.9054878048780488
Datos/Validacion/RoiImg\Mamo_0107.jpg,0.99676513671875,0.9933726067746687,0.968413496051687,0.9993996397838704,0.9807342784442021,0.9621968616262482
Datos/Validacion/RoiImg\Mamo_0108.jpg,0.99554443359375,0.9982876712328768,0.8900763358778626,0.9999364231673978,0.9410815173527038,0.8887195121951219
Datos/Validacion/RoiImg\Mamo_0109.jpg,0.99627685546875,0.9904534606205251,0.8792372881355932,0.9997486173956762,0.9315375982042648,0.8718487394957983
Datos/Validacion/RoiImg\Mamo_011.jpg,0.92413330078125,0.914045040398831,0.8773927392739274,0.9515691592406044,0.895343942072914,0.8105182926829269
Datos/Validacion/RoiImg\Mamo_0110.jpg,0.9903564453125,0.936734693877551,0.9549237170596394,0.9937759336099585,0.9457417582417582,0.8970684039087948
Datos/Validacion/RoiImg\Mamo_0111.jpg,0.995361328125,0.9985652797704447,0.9027237354085603,0.9999359508102222,0.9482288828337875,0.9015544041450777
Datos/Validacion/RoiImg\Mamo_0112.jpg,0.995361328125,0.95,0.9591346153846154,0.9972993827160493,0.9545454545454546,0.9130434782608695
Datos/Validacion/RoiImg\Mamo_0113.jpg,0.994140625,1.0,0.8513931888544891,1.0,0.919732441471572,0.8513931888544891
Datos/Validacion/RoiImg\Mamo_0114.jpg,0.99786376953125,1.0,0.8722627737226277,1.0,0.9317738791423001,0.8722627737226277
Datos/Validacion/RoiImg\Mamo_0115.jpg,0.99713134765625,0.9893048128342246,0.8958837772397095,0.9997495460522197,0.940279542566709,0.8872901678657075
Datos/Validacion/RoiImg\Mamo_0116.jpg,0.99774169921875,0.9507389162561576,0.9578163771712159,0.998748513860209,0.9542645241038319,0.9125295508274232
Datos/Validacion/RoiImg\Mamo_0117.jpg,0.9990234375,0.9941860465116279,0.9606741573033708,0.9998752183678562,0.9771428571428571,0.9553072625698324
Datos/Validacion/RoiImg\Mamo_0118.jpg,0.99432373046875,0.976349302607641,0.9675480769230769,0.9973505434782609,0.9719287654693631,0.9453904873752202
Datos/Validacion/RoiImg\Mamo_0119.jpg,0.9925537109375,0.9932049830124575,0.9409871244635193,0.9991735537190083,0.9663911845730028,0.9349680170575693
Datos/Validacion/RoiImg\Mamo_012.jpg,0.92864990234375,0.9877498388136686,0.8486359230023542,0.9917057732183783,0.9129236499068901,0.8397971769220227
Datos/Validacion/RoiImg\Mamo_0120.jpg,0.978515625,0.9872081867604733,0.9082082965578111,0.9969195225259915,0.9460619062212687,0.8976446641465542
Datos/Validacion/RoiImg\Mamo_0121.jpg,0.9923095703125,0.9697478991596639,0.9600665557404326,0.9962965503051917,0.9648829431438127,0.9321486268174475
Datos/Validacion/RoiImg\Mamo_0122.jpg,0.99334716796875,0.954798331015299,0.9689484827099506,0.995657112313757,0.9618213660245184,0.926450742240216
Datos/Validacion/RoiImg\Mamo_0123.jpg,0.9969482421875,0.9683350357507661,0.9803516028955532,0.9979892326652396,0.9743062692702981,0.9498997995991983
Datos/Validacion/RoiImg\Mamo_0124.jpg,0.973876953125,0.9607843137254902,0.950474618241849,0.983706014907263,0.9556016597510374,0.9149781485895908
Datos/Validacion/RoiImg\Mamo_0125.jpg,0.99169921875,0.9900058788947678,0.9339988907376594,0.998834099170153,0.9611872146118722,0.9252747252747253
Datos/Validacion/RoiImg\Mamo_0126.jpg,0.9927978515625,0.9835748792270531,0.960377358490566,0.9976163768928772,0.9718377088305489,0.9452181987000928
Datos/Validacion/RoiImg\Mamo_0127.jpg,0.99334716796875,0.9835205992509364,0.9378571428571428,0.9985317672183662,0.9601462522851919,0.9233473980309423
Datos/Validacion/RoiImg\Mamo_0128.jpg,0.9930419921875,0.9868624420401855,0.9294032023289666,0.9988674217188541,0.9572713643178411,0.9180445722501798
Datos/Validacion/RoiImg\Mamo_0129.jpg,0.99798583984375,0.9881720430107527,0.9766206163655685,0.9992877031664832,0.9823623730625334,0.9653361344537815
Datos/Validacion/RoiImg\Mamo_013.jpg,0.89617919921875,0.9781527146874324,0.8578203547377407,0.965416880671118,0.9140431552882915,0.8416938110749186
Datos/Validacion/RoiImg\Mamo_0130.jpg,0.9959716796875,0.9670731707317073,0.953125,0.9982638888888888,0.9600484261501211,0.9231664726426076
Datos/Validacion/RoiImg\Mamo_0131.jpg,0.9964599609375,0.9894459102902374,0.9375,0.9994866529774127,0.962772785622593,0.9282178217821783
Datos/Validacion/RoiImg\Mamo_0132.jpg,0.98931884765625,0.8847457627118644,0.9961832061068703,0.9887223033037017,0.9371633752244165,0.8817567567567568
Datos/Validacion/RoiImg\Mamo_0133.jpg,0.99603271484375,0.9917184265010351,0.9644295302013423,0.9991943064321204,0.977883633889078,0.9567243675099867
Datos/Validacion/RoiImg\Mamo_0134.jpg,0.98028564453125,0.9499109087309444,0.985620377978636,0.9780305661688086,0.9674362334912794,0.9369263815661004
Datos/Validacion/RoiImg\Mamo_0135.jpg,0.99444580078125,0.9656381486676017,0.9704016913319239,0.9967256932843301,0.9680140597539543,0.9380108991825613
Datos/Validacion/RoiImg\Mamo_0136.jpg,0.99749755859375,0.9840490797546012,0.9662650602409638,0.9991642021344992,0.9750759878419453,0.9513641755634639
Datos/Validacion/RoiImg\Mamo_0137.jpg,0.99664306640625,0.9814569536423841,0.9475703324808185,0.9991026791436995,0.9642160052049447,0.9309045226130653
Datos/Validacion/RoiImg\Mamo_0138.jpg,0.99505615234375,0.9671669793621013,0.957288765088208,0.9977134644280394,0.9622025198320112,0.927158273381295
Datos/Validacion/RoiImg\Mamo_0139.jpg,0.99395751953125,0.9708171206225681,0.965183752417795,0.9969662239600889,0.967992240543162,0.9379699248120301
Datos/Validacion/RoiImg\Mamo_014.jpg,0.806640625,0.43934488668824984,0.9114974318451206,0.7874828556991266,0.5929067077872012,0.4213698630136986
Datos/Validacion/RoiImg\Mamo_0140.jpg,0.994873046875,0.987460815047022,0.9487951807228916,0.9989373007438895,0.967741935483871,0.9375
Datos/Validacion/RoiImg\Mamo_0141.jpg,0.99700927734375,0.9792122538293216,0.9675675675675676,0.9987709424930461,0.9733550842849374,0.948093220338983
Datos/Validacion/RoiImg\Mamo_0142.jpg,0.99481201171875,0.9867361440075794,0.9733644859813084,0.9980342600393148,0.980004704775347,0.9607933579335793
Datos/Validacion/RoiImg\Mamo_0143.jpg,0.9918212890625,0.9629865985960434,0.9520504731861199,0.9960808162713697,0.9574873096446701,0.9184418746195983
Datos/Validacion/RoiImg\Mamo_0144.jpg,0.9906005859375,0.9822664359861591,0.9526006711409396,0.9970714285714286,0.967206132879046,0.9364948453608247
Datos/Validacion/RoiImg\Mamo_0145.jpg,0.98065185546875,0.8881935753024615,0.9775022956841138,0.9811347318034633,0.9307103825136612,0.8704006541291905
Datos/Validacion/RoiImg\Mamo_0146.jpg,0.97076416015625,0.8742343813801552,0.926038062283737,0.9781125639567936,0.899390884268011,0.817175572519084
Datos/Validacion/RoiImg\Mamo_0147.jpg,0.9910888671875,0.9610687022900763,0.9298375184638109,0.9966067864271457,0.9451951951951952,0.896085409252669
Datos/Validacion/RoiImg\Mamo_0148.jpg,0.9898681640625,0.9786075457020614,0.9577464788732394,0.9960020353274697,0.9680646402462486,0.9381058911260254
Datos/Validacion/RoiImg\Mamo_0149.jpg,0.99835205078125,0.9657142857142857,0.9825581395348837,0.9988656415427275,0.9740634005763689,0.949438202247191
Datos/Validacion/RoiImg\Mamo_015.jpg,0.86285400390625,0.7696629213483146,0.9841138278767786,0.766867140513942,0.8637769020915429,0.7602176928822965
Datos/Validacion/RoiImg\Mamo_0150.jpg,0.9964599609375,0.9893364928909952,0.9445701357466063,0.9994193548387097,0.9664351851851852,0.93505039193729
Datos/Validacion/RoiImg\Mamo_0151.jpg,0.9739990234375,0.8720379146919431,0.9558441558441558,0.9769788262043484,0.9120198265179678,0.8382687927107062
Datos/Validacion/RoiImg\Mamo_0152.jpg,0.99285888671875,0.9863883847549909,0.9142136248948697,0.9990128331688055,0.9489305979921432,0.9028239202657807
Datos/Validacion/RoiImg\Mamo_0153.jpg,0.9952392578125,0.986909090909091,0.9576570218772054,0.9987973541791942,0.9720630372492837,0.9456445993031359
Datos/Validacion/RoiImg\Mamo_0154.jpg,0.9921875,0.9945652173913043,0.9326160815402038,0.9993843207005062,0.9625949736995909,0.927887323943662
Datos/Validacion/RoiImg\Mamo_0155.jpg,0.99627685546875,0.9963702359346642,0.9506493506493506,0.9997373432267385,0.972972972972973,0.9473684210526315
Datos/Validacion/RoiImg\Mamo_0156.jpg,0.993896484375,0.9396903015484923,0.9779474130619169,0.9951331798750411,0.9584372402327515,0.9201915403032721
Datos/Validacion/RoiImg\Mamo_016.jpg,0.893798828125,0.9943512495720643,0.7728845130388504,0.9962787550744249,0.8697409791885012,0.769505894820506
Datos/Validacion/RoiImg\Mamo_017.jpg,0.97528076171875,0.8681818181818182,0.9606767261088248,0.9775304641825738,0.912090297373562,0.8383878691141261
Datos/Validacion/RoiImg\Mamo_018.jpg,0.8785400390625,0.770537070274748,0.9444914537146726,0.8413365155131265,0.8486922141119222,0.7371549332981112
Datos/Validacion/RoiImg\Mamo_019.jpg,0.888671875,0.749942169789498,0.8135508155583437,0.9128155496411001,0.7804525758305247,0.6399526253454402
Datos/Validacion/RoiImg\Mamo_02.jpg,0.8746337890625,0.8083215130023641,0.9968513119533527,0.7404277116148035,0.8927415143603133,0.8062629692510846
Datos/Validacion/RoiImg\Mamo_020.jpg,0.8270263671875,0.608708106559725,0.9765625,0.772938829787234,0.7499558849479442,0.5999435347261434
Datos/Validacion/RoiImg\Mamo_021.jpg,0.91845703125,0.9711048158640226,0.8582874311467201,0.975702715578847,0.911217437533227,0.8369140625
Datos/Validacion/RoiImg\Mamo_022.jpg,0.94598388671875,0.9094076655052264,0.9269158878504673,0.9552292912814936,0.9180783115801167,0.8485626283367557
Datos/Validacion/RoiImg\Mamo_023.jpg,0.9005126953125,0.9002226789996575,0.9576348396501457,0.7845784023668639,0.9280416740243687,0.8657441726381682
Datos/Validacion/RoiImg\Mamo_024.jpg,0.96893310546875,0.9565449213543055,0.9120488052872394,0.9869076305220884,0.9337670787247886,0.8757627532340737
Datos/Validacion/RoiImg\Mamo_025.jpg,0.9376220703125,0.9440647482014388,0.9632960176179115,0.8866204885162231,0.9535834317376691,0.9112847222222222
Datos/Validacion/RoiImg\Mamo_026.jpg,0.91259765625,0.9043550492464697,0.9240936097975021,0.9009462947032075,0.9141177881732038,0.8418203910305976
Datos/Validacion/RoiImg\Mamo_027.jpg,0.86553955078125,0.7639238232123607,0.9649016641452345,0.7983425414364641,0.8527307975132028,0.7432700151497494
Datos/Validacion/RoiImg\Mamo_028.jpg,0.9478759765625,0.986297289246351,0.8038358824957514,0.996249490419894,0.8857677902621723,0.7949579831932773
Datos/Validacion/RoiImg\Mamo_029.jpg,0.9146728515625,0.961966961198617,0.8721699756182515,0.9617809805687814,0.9148702959444648,0.8430976430976431
Datos/Validacion/RoiImg\Mamo_03.jpg,0.74896240234375,0.32892588965066927,0.999008428358949,0.7138581471427577,0.494903598182488,0.32881853785900783
Datos/Validacion/RoiImg\Mamo_030.jpg,0.949951171875,0.9657918788353571,0.929855436832181,0.9689168347372168,0.9474830280517484,0.9002068881586954
Datos/Validacion/RoiImg\Mamo_031.jpg,0.890625,0.9937047529115518,0.8453985539587611,0.9884192240880139,0.9135719108710331,0.8408949658172779
Datos/Validacion/RoiImg\Mamo_032.jpg,0.81414794921875,0.9650594732370433,0.7698890112683217,0.9281816197336826,0.8564965361232857,0.7490108803165183
Datos/Validacion/RoiImg\Mamo_033.jpg,0.93438720703125,0.9759396540512421,0.893971884679533,0.976846057571965,0.9331592364608593,0.8746940202820842
Datos/Validacion/RoiImg\Mamo_034.jpg,0.8448486328125,0.6846846846846847,0.926829268292683,0.8079646017699115,0.7875647668393783,0.6495726495726496
Datos/Validacion/RoiImg\Mamo_035.jpg,0.86920166015625,0.7881981032665965,0.8767582049564635,0.8648674606223589,0.830122869599683,0.7095812440710123
Datos/Validacion/RoiImg\Mamo_036.jpg,0.87066650390625,0.9473386716910033,0.8657024793388429,0.8827600671140939,0.9046826503531106,0.8259548254620123
